FNDC4,IFITM1
ITGB1,MPP3
GSTP1,NR0B2
GSTP1,CX3CR1
EIF4H,UBQLN1
LAPTM4A,SACS
EIF4H,FBLN7
LGALS3BP,TMEM87B
CAPNS1,EGLN1
SMS,KLK11
PICALM,GALK1
LAPTM4A,NUAK1
POMT2,EIF4H
DVL1,UTRN
ITGB1,RNF182
EEF1D,CARD6
DCTPP1,ZFP36L1
PRDX5,MAPK7
TBC1D23,ACTN4
NRDC,CCNI
ITGB1,ZNF417
ACTN4,FST
LAPTM4A,NID2
RGS17,CCDC47
PHF20,LGALS3BP
KIAA0100,INHBB
TMBIM6,OR2C3
TRIM28,NLRP3
PDE6A,CD63
RNF10,HOGA1
KCNC4,CAPNS1
ITGB1,LEO1
FTL,SIX2
CTSZ,GJC2
CXCL3,PNRC2
IMPDH1,ARL8B
NUCB1,MXD3
TMEM14C,NPC2
SRGN,FBXL6
PAIP2,EMP3
CST3,UBAP2L
EIF4H,NXT1
EIF4H,DCP1B
EIF4H,TMEM184C
ETV3,ITGB1
ARL2BP,PTPN6
RASL11B,CRK
LAPTM4A,SHKBP1
HOXC13,B2M
TMEM14C,EGF
AUP1,CELA2A
GNAS,ATL3
CST3,TMEM109
RHAG,FTH1
RARS,SLC27A1
EIF4H,NAB1
CYP1A2,FKBP11
ABCB1,FKBP11
CYP2C19,FKBP11
CYP3A4,FKBP11
ALB,FKBP11
BCR,FKBP11
DDR1,FKBP11
ABCG2,FKBP11
ABL1,FKBP11
CYP2D6,FKBP11
CYP3A7,FKBP11
CSF1R,FKBP11
CYP2C9,FKBP11
CYP3A5,FKBP11
ABCA3,FKBP11
KRAS,SMURF2
PARVA,SMURF2
GNG12,SMURF2
EPHA2,SMURF2
HRAS,SMURF2
GPX8,SMURF2
NRAS,SMURF2
OSMR,SMURF2
GRHL3,SSH3
RHOD,SSH3
CBLC,SSH3
TRIOBP,SSH3
MYH14,SSH3
FLCN,SSH3
ITPKC,SSH3
SSH2,SSH3
KRAS,SSH3
BLVRB,SSH3
CRB3,SSH3
NECTIN2,SSH3
PRRG2,SSH3
TRPM4,SSH3
P2RY2,SSH3
MMACHC,SSH3
PLK2,SSH3
SSH1,SSH3
EPHA2,SSH3
RIPK4,SSH3
NRAS,PSMA4
HRAS,PSMA4
ASPSCR1,PSMA4
MUS81,SCOC
HOXB8,GRIA3
BLM,SART1
KRAS,ZNF117
ALB,CUX1
ABCG2,CUX1
AKT1,CUX1
CSF1R,CUX1
ABL1,CUX1
BCR,CUX1
ABCB1,CUX1
ABCA3,CUX1
PTEN,CUX1
BCL2,CUX1
HEATR1,KRAS
DDX10,KRAS
SPTY2D1,KRAS
ATP5PD,KRAS
ANAPC2,KRAS
PATE2,KRAS
DBT,KRAS
HNF4G,KRAS
STAU2,KRAS
ACE2,KRAS
PSMD12,KRAS
KAT6B,KRAS
TPP2,KRAS
CCT6A,KRAS
DAG1,KRAS
ADAM22,KRAS
BASP1,KRAS
MTA2,KRAS
DPPA3,KRAS
VPS33A,KRAS
NOL3,KRAS
PGPEP1,KRAS
GNS,KRAS
BTBD9,KRAS
MATN2,KRAS
CACNG8,KRAS
NET1,KRAS
FZD8,KRAS
IFNA6,KRAS
UNKL,KRAS
HEBP2,KRAS
HOXB5,KRAS
ARHGAP18,KRAS
ASH1L,KRAS
KCNA10,KRAS
QARS1,KRAS
POLR2B,KRAS
TRIM44,KRAS
KIF2C,KRAS
MFSD12,KRAS
RPA2,KRAS
METAP2,KRAS
GALNT14,KRAS
ZC3H13,KRAS
RMI2,KRAS
FAM71E1,KRAS
HLA-DOB,KRAS
LOC101928841,KRAS
UTP4,KRAS
DHX15,KRAS
CHMP2B,KRAS
DDX42,KRAS
CLCN1,KRAS
ATG5,KRAS
HCN3,KRAS
TMED8,KRAS
DDX21,KRAS
FAM3C,KRAS
ARL4A,KRAS
SHOC1,KRAS
SLC11A2,KRAS
GCM2,KRAS
AMFR,KRAS
XAGE3,KRAS
CLIC4,KRAS
RAB5B,KRAS
NUP93,KRAS
PLIN2,KRAS
CYP11B1,KRAS
IL10RA,KRAS
INTU,KRAS
NANP,KRAS
DLG4,KRAS
EIF5A2,KRAS
KLF3,KRAS
G6PC2,KRAS
F2RL3,KRAS
LIN7C,KRAS
MIS18A,KRAS
CPNE5,KRAS
FMR1NB,KRAS
GABRA6,KRAS
DCDC2,KRAS
PLEKHB1,KRAS
ALG2,KRAS
RPL35,KRAS
KLK8,KRAS
IPO9,KRAS
CALR,KRAS
CTCF,KRAS
TTLL3,KRAS
FBXO9,KRAS
ATP10A,KRAS
ADAMDEC1,KRAS
EPHB1,KRAS
ZC3HAV1L,KRAS
CRYM,KRAS
C2CD2,KRAS
LCE5A,KRAS
