,All_Type
BLM-PIK3C3,0
RPUSD4-TSC22D2,0
STK17A-TYMS,0
LEO1-PDCD7,0
MAPKAPK5-MYC,0
HNRNPD-NUP160,0
CASP8-MYC,0
ETAA1-BRPF1,1
BCL2A1-SNRNP27,0
EPB41-SLCO4A1,0
NCLN-RABGEF1,0
ARIH1-TIMELESS,0
MED24-MRPL46,0
ATM-CDK1,0
MAP2K4-MAP3K1,0
EXOSC9-HYPK,0
PPP2R1A-ZNF511,0
SLC29A1-SPHK1,0
COX7B-NRAS,0
MRC2-TRA2A,0
RB1-TOP2A,1
DAZAP1-RMND5A,0
NSMCE4A-SF3B1,0
GTF2H4-MRPL37,0
NRAS-TMEM135,0
BLM-BAG5,0
MED28-ZNF574,0
ST6GAL1-TRIB3,0
PML-TP53,0
CLIC2-EIF4G1,0
L3MBTL4-PCBP1,0
PLK2-RPRD1B,0
CABP4-FNTA,1
EIF3D-GTF2H4,0
NAE1-WDR45,0
RGS16-TSC1,0
DYRK3-EIF5B,0
NACA-PRPF18,0
MIEF1-TNRC6B,0
NAE1-SGPL1,0
NAE1-UBE2D1,0
MTA1-RETSAT,0
IGF2BP3-KDM4C,1
MUS81-TMEM209,0
MRPL46-TUBGCP3,0
NCF4-NUP107,0
SYVN1-TTC4,0
EIF3M-TRMT5,0
FAM63B-PPM1G,0
ATP1B3-BRCA1,0
ITGB7-KDM1A,0
ABL1-FKBP11,0
ABI1-MLLT10,0
CDC42EP2-RABIF,0
PTEN-FAM217B,0
BLM-NOTCH1,0
ARID5A-NRAS,0
NSMCE4A-RPL13,0
ACVRL1-VHL,0
E2F3-NAE1,0
ANAPC13-RTF1,0
DLD-PRMT1,0
RPA3-TIPIN,0
PTEN-ZFPM1,1
NRAS-TMEM19,0
ABL1-LAPTM4B,0
DNTTIP1-SNCA,0
ANPEP-SNRPC,0
BCAP29-PRKCSH,0
PTEN-TRAF6,0
CSF1R-DBF4,0
POLD1-SESN2,0
SEC22B-TUBGCP3,0
RAB1A-ASAP1,0
ATP11B-PKN1,0
NUP54-SF3B1,0
RPL24-RPLP1,0
HIP1-SLC2A5,0
HNRNPUL2-RGS16,0
FH-SLC7A6OS,0
CYP1B1-HERC5,0
PTEN-EGR2,0
FAM222B-SLC16A1,0
ACTR10-CEP192,0
GTPBP1-SREBF2,0
CMAS-VPS29,0
NRAS-ODC1,0
LMNB1-PQLC3,0
E2F1-NAE1,1
RAD17-SSBP1,0
MYO1C-PABPC1,0
DIS3-NRAS,0
KRAS-CDK13,0
CSRP1-EZH2,0
